Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
terra-boots,TERRA.BOOTS,"<p>Heavy-duty earth-tone boots with brutalist silhouette and all-day comfort.</p>",EARTH/CO,Apparel & Accessories > Shoes,Boots,"earth-demo,footwear,rooted",TRUE,Title,Default Title,EB-001,1200,shopify,80,deny,manual,195,240,TRUE,TRUE,https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&q=80&w=1200,1,TERRA.BOOTS,active
moss-jacket,MOSS.JACKET,"<p>Structured utility jacket in moss green with rugged seam details.</p>",EARTH/CO,Apparel & Accessories > Clothing,Jackets,"earth-demo,tops,moss",TRUE,Title,Default Title,EB-002,900,shopify,70,deny,manual,145,189,TRUE,TRUE,https://images.unsplash.com/photo-1556905055-8f358a7a47b2?auto=format&fit=crop&q=80&w=1200,1,MOSS.JACKET,active
clay-bag,CLAY.BAG,"<p>Crossbody bag with a minimalist shell and warm clay palette.</p>",EARTH/CO,Apparel & Accessories > Handbags,Accessories,"earth-demo,bags,clay",TRUE,Title,Default Title,EB-003,500,shopify,120,deny,manual,85,110,TRUE,TRUE,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?auto=format&fit=crop&q=80&w=1200,1,CLAY.BAG,active
stone-shades,STONE.SHADES,"<p>Angular eyewear inspired by carved stone geometry.</p>",EARTH/CO,Apparel & Accessories > Clothing Accessories,Accessories,"earth-demo,accessories,stone",TRUE,Title,Default Title,EB-004,200,shopify,95,deny,manual,155,199,TRUE,TRUE,https://images.unsplash.com/photo-1511499767150-a48a237f0083?auto=format&fit=crop&q=80&w=1200,1,STONE.SHADES,active
sand-tee,SAND.TEE,"<p>Boxy heavyweight tee in sun-faded sand with reinforced collar.</p>",EARTH/CO,Apparel & Accessories > Clothing,Tops,"earth-demo,tops,sand",TRUE,Title,Default Title,EB-005,300,shopify,140,deny,manual,55,75,TRUE,TRUE,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&q=80&w=1200,1,SAND.TEE,active
basalt-hoodie,BASALT.HOODIE,"<p>Dense fleece hoodie in volcanic charcoal with oversized fit.</p>",EARTH/CO,Apparel & Accessories > Clothing,Tops,"earth-demo,tops,basalt",TRUE,Title,Default Title,EB-006,850,shopify,90,deny,manual,110,145,TRUE,TRUE,https://images.unsplash.com/photo-1556821840-3a63f95609a7?auto=format&fit=crop&q=80&w=1200,1,BASALT.HOODIE,active
canyon-pants,CANYON.PANTS,"<p>Tapered utility pants with articulated knees and deep pockets.</p>",EARTH/CO,Apparel & Accessories > Clothing,Bottoms,"earth-demo,bottoms,canyon",TRUE,Title,Default Title,EB-007,650,shopify,110,deny,manual,98,129,TRUE,TRUE,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?auto=format&fit=crop&q=80&w=1200,1,CANYON.PANTS,active
river-shirt,RIVER.SHIRT,"<p>Relaxed overshirt with textured weave and matte earth finish.</p>",EARTH/CO,Apparel & Accessories > Clothing,Tops,"earth-demo,tops,river",TRUE,Title,Default Title,EB-008,420,shopify,100,deny,manual,88,118,TRUE,TRUE,https://images.unsplash.com/photo-1489987707025-afc232f7ea0f?auto=format&fit=crop&q=80&w=1200,1,RIVER.SHIRT,active
forest-cap,FOREST.CAP,"<p>Six-panel cap with bold embroidery and structured brim.</p>",EARTH/CO,Apparel & Accessories > Clothing Accessories,Accessories,"earth-demo,accessories,forest",TRUE,Title,Default Title,EB-009,150,shopify,160,deny,manual,42,58,TRUE,TRUE,https://images.unsplash.com/photo-1578932750294-f5075e85f44a?auto=format&fit=crop&q=80&w=1200,1,FOREST.CAP,active
oxide-belt,OXIDE.BELT,"<p>Brushed metal buckle belt with weathered leather texture.</p>",EARTH/CO,Apparel & Accessories > Clothing Accessories,Accessories,"earth-demo,accessories,oxide",TRUE,Title,Default Title,EB-010,240,shopify,130,deny,manual,48,65,TRUE,TRUE,https://images.unsplash.com/photo-1618354691373-d851c5c3a990?auto=format&fit=crop&q=80&w=1200,1,OXIDE.BELT,active
dune-sneakers,DUNE.SNEAKERS,"<p>Chunky sneakers with layered suede and dusted sand midsole.</p>",EARTH/CO,Apparel & Accessories > Shoes,Sneakers,"earth-demo,footwear,dune",TRUE,Title,Default Title,EB-011,900,shopify,85,deny,manual,132,169,TRUE,TRUE,https://images.unsplash.com/photo-1549298916-b41d501d3772?auto=format&fit=crop&q=80&w=1200,1,DUNE.SNEAKERS,active
ridge-tote,RIDGE.TOTE,"<p>Large carry tote for market runs, travel, and studio use.</p>",EARTH/CO,Apparel & Accessories > Handbags,Accessories,"earth-demo,bags,ridge",TRUE,Title,Default Title,EB-012,520,shopify,75,deny,manual,92,122,TRUE,TRUE,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?auto=format&fit=crop&q=80&w=1200,1,RIDGE.TOTE,active
